"","X","subj_idx","session","rt","valence","task","response","correct","ctl_type","task_n","correct_n","valence_n","session_n","task_switch","treatment_cond","val_ctr","sess_ctr","ts_ctr"
"1",1,1,"Pre",1.6439,"positive","self",0,NA,"lower",1,NA,1,0,0,"MBCT",1.00565550909233,-1.00413229504297,-1.01665601791684
"2",2,1,"Pre",1.34681,"positive","self",1,NA,"upper",1,NA,1,0,1,"MBCT",1.00565550909233,-1.00413229504297,0.98357300917663
"3",3,1,"Pre",0.89679,"positive","self",1,NA,"upper",1,NA,1,0,0,"MBCT",1.00565550909233,-1.00413229504297,-1.01665601791684
"4",4,1,"Pre",1.11186,"positive","self",1,NA,"upper",1,NA,1,0,0,"MBCT",1.00565550909233,-1.00413229504297,-1.01665601791684
"5",5,1,"Pre",2.09533,"positive","self",1,NA,"lower",1,NA,1,0,1,"MBCT",1.00565550909233,-1.00413229504297,0.98357300917663
"6",6,1,"Pre",1.99622,"positive","self",1,NA,"upper",1,NA,1,0,0,"MBCT",1.00565550909233,-1.00413229504297,-1.01665601791684
"7",7,1,"Pre",2.12707,"negative","self",0,NA,"lower",1,NA,0,0,1,"MBCT",-0.994331965369061,-1.00413229504297,0.98357300917663
"8",8,1,"Pre",1.72403,"negative","self",1,NA,"upper",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"9",9,1,"Pre",1.93999,"negative","self",0,NA,"lower",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"10",10,1,"Pre",2.89919,"negative","self",1,NA,"upper",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"11",11,1,"Pre",2.20245,"negative","self",0,NA,"upper",1,NA,0,0,1,"MBCT",-0.994331965369061,-1.00413229504297,0.98357300917663
"12",12,1,"Pre",2.11262,"negative","self",1,NA,"lower",1,NA,0,0,1,"MBCT",-0.994331965369061,-1.00413229504297,0.98357300917663
"13",13,1,"Pre",1.85156,"negative","self",0,NA,"lower",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"14",14,1,"Pre",0.99818,"positive","self",1,NA,"lower",1,NA,1,0,0,"MBCT",1.00565550909233,-1.00413229504297,-1.01665601791684
"15",15,1,"Pre",2.1338,"negative","self",1,NA,"upper",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"16",16,1,"Pre",1.04969,"positive","self",1,NA,"lower",1,NA,1,0,0,"MBCT",1.00565550909233,-1.00413229504297,-1.01665601791684
"17",17,1,"Pre",1.78869,"positive","self",0,NA,"upper",1,NA,1,0,0,"MBCT",1.00565550909233,-1.00413229504297,-1.01665601791684
"18",18,1,"Pre",1.34515,"negative","self",1,NA,"upper",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"19",19,1,"Pre",1.46789,"positive","self",1,NA,"lower",1,NA,1,0,1,"MBCT",1.00565550909233,-1.00413229504297,0.98357300917663
"20",20,1,"Pre",2.15015,"negative","self",0,NA,"lower",1,NA,0,0,1,"MBCT",-0.994331965369061,-1.00413229504297,0.98357300917663
"21",21,1,"Pre",1.52842,"negative","self",0,NA,"upper",1,NA,0,0,1,"MBCT",-0.994331965369061,-1.00413229504297,0.98357300917663
"22",22,1,"Pre",1.15517,"negative","self",1,NA,"lower",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"23",23,1,"Pre",1.12348,"positive","self",1,NA,"lower",1,NA,1,0,0,"MBCT",1.00565550909233,-1.00413229504297,-1.01665601791684
"24",24,1,"Pre",1.5722,"positive","self",1,NA,"lower",1,NA,1,0,1,"MBCT",1.00565550909233,-1.00413229504297,0.98357300917663
"25",25,1,"Pre",1.32103,"negative","self",1,NA,"lower",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"26",26,1,"Pre",1.45537,"negative","self",0,NA,"lower",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"27",27,1,"Pre",1.3595,"positive","self",1,NA,"upper",1,NA,1,0,1,"MBCT",1.00565550909233,-1.00413229504297,0.98357300917663
"28",28,1,"Pre",1.26371,"negative","self",1,NA,"lower",1,NA,0,0,1,"MBCT",-0.994331965369061,-1.00413229504297,0.98357300917663
"29",29,1,"Pre",2.08195,"positive","self",1,NA,"upper",1,NA,1,0,0,"MBCT",1.00565550909233,-1.00413229504297,-1.01665601791684
"30",30,1,"Pre",1.78696,"negative","self",1,NA,"upper",1,NA,0,0,1,"MBCT",-0.994331965369061,-1.00413229504297,0.98357300917663
"31",31,1,"Pre",1.09671,"negative","self",1,NA,"upper",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"32",32,1,"Pre",2.94762,"positive","self",1,NA,"lower",1,NA,1,0,1,"MBCT",1.00565550909233,-1.00413229504297,0.98357300917663
"33",33,1,"Pre",1.60246,"positive","self",0,NA,"upper",1,NA,1,0,0,"MBCT",1.00565550909233,-1.00413229504297,-1.01665601791684
"34",34,1,"Pre",1.57872,"positive","self",1,NA,"upper",1,NA,1,0,1,"MBCT",1.00565550909233,-1.00413229504297,0.98357300917663
"35",35,1,"Pre",1.71253,"negative","self",1,NA,"lower",1,NA,0,0,1,"MBCT",-0.994331965369061,-1.00413229504297,0.98357300917663
"36",36,1,"Pre",1.97744,"positive","self",1,NA,"lower",1,NA,1,0,0,"MBCT",1.00565550909233,-1.00413229504297,-1.01665601791684
"37",37,1,"Pre",1.37446,"negative","self",0,NA,"upper",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"38",38,1,"Pre",2.50579,"positive","self",0,NA,"upper",1,NA,1,0,1,"MBCT",1.00565550909233,-1.00413229504297,0.98357300917663
"39",39,1,"Pre",1.20943,"negative","self",1,NA,"upper",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"40",40,1,"Pre",1.06945,"positive","self",1,NA,"lower",1,NA,1,0,1,"MBCT",1.00565550909233,-1.00413229504297,0.98357300917663
"41",41,1,"Pre",1.47118,"negative","self",0,NA,"lower",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"42",42,1,"Pre",1.41227,"negative","self",1,NA,"upper",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"43",43,1,"Pre",2.39257,"positive","self",0,NA,"lower",1,NA,1,0,1,"MBCT",1.00565550909233,-1.00413229504297,0.98357300917663
"44",44,1,"Pre",1.85072,"negative","self",1,NA,"lower",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"45",45,1,"Pre",1.8905,"positive","self",1,NA,"upper",1,NA,1,0,1,"MBCT",1.00565550909233,-1.00413229504297,0.98357300917663
"46",46,1,"Pre",1.5504,"positive","self",0,NA,"lower",1,NA,1,0,1,"MBCT",1.00565550909233,-1.00413229504297,0.98357300917663
"47",47,1,"Pre",1.87002,"negative","self",0,NA,"upper",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"48",48,1,"Pre",2.1105,"positive","self",1,NA,"lower",1,NA,1,0,0,"MBCT",1.00565550909233,-1.00413229504297,-1.01665601791684
"49",49,1,"Pre",1.97673,"positive","self",1,NA,"upper",1,NA,1,0,1,"MBCT",1.00565550909233,-1.00413229504297,0.98357300917663
"50",50,1,"Pre",1.48919,"negative","self",0,NA,"lower",1,NA,0,0,0,"MBCT",-0.994331965369061,-1.00413229504297,-1.01665601791684
"51",51,1,"Pre",1.57613,"positive","self",1,NA,"lower",1,NA,1,0,1,"MBCT",1.00565550909233,-1.00413229504297,0.98357300917663
